Parameter,ParameterType,Unit,Cat3_D1,Cat3_D2,QChoc1,RHuat6,RSalc1,RUrub0,RUrub1,RVilc1,RVilc10,RVilc11,RVilc13,RVilc14,RVilc18,RVilc20,RVilc21,RVilc24,RVilc26,RVilc27,RVilc3,RVilc31,RVilc4,RVilc6,RVilc8,RYana3,Cat3_D1_min,Cat3_D1_max,Cat3_D2_min,Cat3_D2_max
Lantanio,INORGANICOS,mg/L,<=5,<=1,,,,,,,,,,,,,,,,,,,,,,,,,,
Litio,INORGANICOS,mg/L,"<=2,5","<=2,5",,,,,,,,,,,,,,,,,,,,,,,,,,
Lutecio,INORGANICOS,mg/L,"<=2,5","<=2,5",,,,,,,,,,,,,,,,,,,,,,,,,,
Magnesio,INORGANICOS,mg/L,"<=2,5",<=250,,,,,,,,,,,,,,,,,,,,,,,,,,
Manganeso,INORGANICOS,mg/L,"<=0,2","<=0,2",,,,,,,,,,,,,,,,,,,,,,,,,,
Mercurio,INORGANICOS,mg/L,"<=0,001","<=0,01",,,,,,,,,,,,,,,,,,,,,,,,,,
Molibdeno,INORGANICOS,mg/L,"<=0,001","<=0,01",,,,,,,,,,,,,,,,,,,,,,,,,,
Niobio,INORGANICOS,mg/L,"<=0,001","<=0,01",,,,,,,,,,,,,,,,,,,,,,,,,,
Niquel,INORGANICOS,mg/L,"<=0,2",<=1,,,,,,,,,,,,,,,,,,,,,,,,,,
Plata,INORGANICOS,mg/L,"<=0,2",<=1,,,,,,,,,,,,,,,,,,,,,,,,,,
Plomo,INORGANICOS,mg/L,"<=0,05","<=0,05",,,,,,,,,,,,,,,,,,,,,,,,,,
Potasio,INORGANICOS,mg/L,"<=0,05","<=0,05",,,,,,,,,,,,,,,,,,,,,,,,,,
Rubidio,INORGANICOS,mg/L,"<=0,05","<=0,05",,,,,,,,,,,,,,,,,,,,,,,,,,
Selenio,INORGANICOS,mg/L,"<=0,02","<=0,05",,,,,,,,,,,,,,,,,,,,,,,,,,
Silicio,INORGANICOS,mg/L,"<=0,02","<=0,05",,,,,,,,,,,,,,,,,,,,,,,,,,
Sodio,INORGANICOS,mg/L,"<=0,02","<=0,05",,,,,,,,,,,,,,,,,,,,,,,,,,
Talio,INORGANICOS,mg/L,"<=0,02","<=0,05",,,,,,,,,,,,,,,,,,,,,,,,,,
Tantalio,INORGANICOS,mg/L,"<=0,02","<=0,05",,,,,,,,,,,,,,,,,,,,,,,,,,
Teluro,INORGANICOS,mg/L,"<=0,02","<=0,05",,,,,,,,,,,,,,,,,,,,,,,,,,
Titanio,INORGANICOS,mg/L,"<=0,02","<=0,05",,,,,,,,,,,,,,,,,,,,,,,,,,
Torio,INORGANICOS,mg/L,"<=0,02","<=0,05",,,,,,,,,,,,,,,,,,,,,,,,,,
Uranio,INORGANICOS,mg/L,"<=0,02","<=0,05",,,,,,,,,,,,,,,,,,,,,,,,,,
Vanadio,INORGANICOS,mg/L,"<=0,02","<=0,05",,,,,,,,,,,,,,,,,,,,,,,,,,
Wolframio,INORGANICOS,mg/L,"<=0,02","<=0,05",,,,,,,,,,,,,,,,,,,,,,,,,,
Yterbio,INORGANICOS,mg/L,"<=0,02","<=0,05",,,,,,,,,,,,,,,,,,,,,,,,,,
Zinc,INORGANICOS,mg/L,<=2,<=24,,,,,,,,,,,,,,,,,,,,,,,,,,
Zirconio,INORGANICOS,mg/L,<=2,<=24,,,,,,,,,,,,,,,,,,,,,,,,,,
Coliformes Termotolerantes,MICROBIOLOGICO Y PARASITOLOGICOS,NMP/100ml,<=1000,<=1000,,,,,,,,,,,,,,,,,,,,,,,,,,
